BEGIN
CREATE TABLE
INSERT 0 174
    country_region    | confirmed | recovered | deaths |  lb   |  mb   |  ub   
----------------------+-----------+-----------+--------+-------+-------+-------
 Mainland China       |     80151 |     47404 |   2945 | 0.037 | 0.037 | 0.058
 South Korea          |      5186 |        30 |     28 | 0.005 | 0.318 | 0.483
 Italy                |      2502 |       160 |     79 | 0.032 | 0.198 | 0.331
 Iran                 |      2336 |       291 |     77 | 0.033 | 0.117 | 0.209
 Others               |       767 |        10 |      6 | 0.008 | 0.231 | 0.375
 Japan                |       293 |        43 |      6 | 0.020 | 0.065 | 0.122
 France               |       204 |        12 |      4 | 0.020 | 0.143 | 0.250
 Germany              |       201 |        16 |      0 | 0.000 | 0.000 | 0.000
 US                   |       179 |        11 |      8 | 0.045 | 0.242 | 0.421
 Spain                |       165 |         2 |      1 | 0.006 | 0.200 | 0.333
 Singapore            |       110 |        78 |      0 | 0.000 | 0.000 | 0.000
 Hong Kong            |       100 |        37 |      2 | 0.020 | 0.026 | 0.051
 Switzerland          |        56 |         2 |      0 | 0.000 | 0.000 | 0.000
 UK                   |        51 |         8 |      0 | 0.000 | 0.000 | 0.000
 Australia            |        51 |        11 |      1 | 0.020 | 0.038 | 0.083
 Thailand             |        43 |        31 |      1 | 0.023 | 0.023 | 0.031
 Taiwan               |        42 |        12 |      1 | 0.024 | 0.040 | 0.077
 Malaysia             |        36 |        22 |      0 | 0.000 | 0.000 | 0.000
 Canada               |        33 |         6 |      0 | 0.000 | 0.000 | 0.000
 United Arab Emirates |        27 |         5 |      0 | 0.000 | 0.000 | 0.000
 Vietnam              |        16 |        16 |      0 | 0.000 | 0.000 | 0.000
 Belgium              |        13 |         1 |      0 | 0.000 | 0.000 | 0.000
 Israel               |        13 |         1 |      0 | 0.000 | 0.000 | 0.000
 Oman                 |        12 |         2 |      0 | 0.000 | 0.000 | 0.000
 Macau                |        10 |         9 |      0 | 0.000 | 0.000 | 0.000
 San Marino           |        10 |         0 |      1 | 0.100 | 1.000 | 1.000
 Finland              |         6 |         1 |      0 | 0.000 | 0.000 | 0.000
 Mexico               |         5 |         1 |      0 | 0.000 | 0.000 | 0.000
 India                |         5 |         3 |      0 | 0.000 | 0.000 | 0.000
 Russia               |         3 |         2 |      0 | 0.000 | 0.000 | 0.000
 Philippines          |         3 |         1 |      1 | 0.333 | 0.333 | 0.500
 Egypt                |         2 |         1 |      0 | 0.000 | 0.000 | 0.000
 Nepal                |         1 |         1 |      0 | 0.000 | 0.000 | 0.000
 Sri Lanka            |         1 |         1 |      0 | 0.000 | 0.000 | 0.000
 Cambodia             |         1 |         1 |      0 | 0.000 | 0.000 | 0.000
(35 rows)

COMMIT
